0,00101010,10000110,11111101,01011011,11100110,10010100,00000010,11100111
0,00000010,01100110,01110111,01000101,10010100,00000000,11110111,00000011
0,00000110,10011000,10000101,10001000,10110010,11000101,01011011,11101011
0,00000011,10001001,10001000,10001100,01101110,11111100,11110110,11111100
0,01110000,11111101,00100101,01111100,10110011,01000011,01001001,00000110
0,01000101,00101010,00011110,10100100,01111111,01100100,01101101,01111011
1,10101100,10000000,00001011,10000101,10011011,01111011,01011111,10010001
1,00000100,00000000,01100101,10010000,01111001,10111011,01000110,11100000
0,00001111,00001000,11111010,01100110,01101000,00110110,10011011,01110001
1,01001100,11000111,01111000,01001111,11111000,00000101,10000110,00011011
0,00101101,00000111,11111110,10110111,00000010,11101110,01111010,11111000
1,00000101,11000011,11110100,11110111,10111010,10111110,00001110,00111000
0,01100000,11011100,10100110,11010110,10000110,11111011,00000101,01001010
1,11111001,10101001,11011001,01100111,10011110,10000100,01100111,10000000
0,00100011,10000100,01101011,10111011,01010010,01100111,01111000,00111010
1,11110111,01010011,00110100,11111110,10111000,10010010,11110110,10001011
1,11100100,01101101,10110101,01110101,11111001,01011011,11001101,10000011
1,11100101,10010010,00101000,10010100,00100101,11000000,10001110,00001001
0,10111001,11111101,01010001,00001001,01100001,01111110,01100100,01010101
1,00111100,00100010,11011010,00100000,01100100,01111100,10100011,01000001
1,01011011,10000010,11111111,01101000,10001100,11111110,11111111,00000110
1,00001110,11111000,01100100,01001111,11111010,01110011,11111111,01111111
1,00101100,11110111,01010101,11000001,10001110,01111100,10101011,10101111
1,11001001,10100010,10010000,11111000,00001010,01100111,10001101,10100001
1,10001010,11101000,01110001,00000000,00000100,01110011,01101011,00111011
0,10010110,00000100,01100101,11111001,10000000,10010001,10001000,11111000
1,10011000,00110010,00011010,01011001,11001111,00111100,01011100,00001001
1,01111010,01001011,11111001,01100100,10010101,00101110,00000111,00100011
0,11111011,00000011,11111100,10010110,10010110,10010110,10100011,00110000
1,01110001,00001000,10010010,11000011,00000011,01101001,11111010,01000011
1,00001110,11000011,10001100,01110011,00001000,01110101,00010110,01001110
0,10000110,01110111,00000000,01111100,11110011,01110000,00001001,10110010
0,00000110,10001100,01101010,10010100,00100110,01110101,10001001,00001110
0,01101000,10000111,10001011,01101001,01100110,11111101,11010111,01101111
0,01011111,00000111,11010000,11001111,00001000,01110011,11011110,00010111
1,10001001,10100011,10000010,01011010,00100010,11110111,00111100,01110000
1,11110111,11010010,00000100,01100100,10001101,00111011,00000101,11000000
0,11101101,00101010,10100101,00100010,01000011,11111101,00010000,01011101
0,10001100,10001110,11111001,11111000,11101000,10010010,10011010,00111101
1,00000110,10110001,10010000,10010010,01111000,01110000,11011110,10000100
0,10010111,00000010,00001011,00110011,01011010,11111001,11111100,00100111
1,11011001,00000001,11111001,01100101,01101010,11111001,10001110,10010111
1,11111000,11000010,11001011,01110011,10111011,01100010,10110110,00000010
1,11111110,00110101,10000011,10011100,10011001,10111000,10000101,00000111
0,10000100,00001000,01100111,01000000,00011000,10000101,00000000,10010011
0,10010100,00010001,01000001,11001100,01000101,10010010,00000111,11100011
1,11111010,01111010,01111010,10001000,00000110,10010001,10010010,01001001
1,10110000,01010100,00001000,01111110,00000111,00111000,11111000,01100101
0,01001011,01100110,11001100,10010001,10010110,00010010,00101101,00001010
1,10001101,11111111,00000111,10001111,01110000,10100010,10000001,10010111
0,01110000,10011000,01110001,10000001,01101010,10111001,00110000,01110111
1,10000100,01000000,10011000,00000001,00000110,01000011,11111011,01100100
1,10000110,10101111,01100110,01111000,01101101,00011000,10100011,10010100
1,11110011,10111010,10001000,01100110,11111101,11011010,01000011,01111101
0,10001101,01011011,00100010,10000101,01110101,10011110,01101100,01101111
0,01010101,00010001,01111101,10000010,01110000,00000100,10100100,00000000
1,01101010,01111110,00001000,01000100,01100110,00001111,01111011,11111111
0,11111100,11011110,00010111,00001110,11000110,01001100,01000110,11111011
1,10011110,11111101,00101101,10000011,00000000,10000111,00000111,01011110
0,00001101,11110111,11101100,01011110,01101001,11100100,01101100,10101010
1,01111110,00001001,00001001,01010110,11111011,00000100,10001101,00010101
1,11000011,00011110,01100100,00000100,11100101,01111101,11010110,00111111
0,11111100,00000000,11110111,10110010,11111000,01001001,10111111,10011110
1,11100001,10001111,01100000,10001111,10001010,11111001,00010111,01011100
1,01000100,10001100,11000110,01111110,11111110,00001001,01110100,11111010
1,10101010,01001110,10001110,01101110,10011011,00100000,10010010,00101010
0,10000100,01010011,00000100,10010000,11111011,11111001,00010100,10011101
0,01100110,01111111,01101000,01000110,01100100,11111000,11111101,00010101
0,01110100,10011110,11101111,10000100,10000000,01101111,11111101,10000010
1,01100101,10010000,11111001,01110111,00000100,10010110,01100101,01010111
1,10000110,11010011,11001010,10110011,10001100,01001111,00110110,00000010
1,10110001,01101011,01001000,01101111,01111000,00000100,10001101,00110101
1,00011010,00000000,11000011,10000010,10000100,01111101,10010001,11110001
0,00101010,10010101,01110100,01110010,10010101,01110001,01000011,11100010
0,00100110,01100001,00110011,01110010,01100100,11110101,10001001,00011010
1,10111001,00001001,10010001,10110110,11000111,11100000,11110101,01111100
0,11111011,10011001,01101110,10011000,11111100,00101111,10010011,01101001
0,11111001,00001001,11111101,01001011,01111011,10011010,11111010,00000101
1,11110111,01100001,00000111,01101111,10000000,10010000,11111001,11111011
1,00000010,00000001,10101110,00101000,11010101,11101011,10001000,01110110
0,11001001,00000000,11111110,01100111,01000011,10010110,10010111,10011001
0,01000010,00001000,01111011,01100010,10111100,01110110,01100101,11111110
0,11111000,00011010,01011100,00101000,00010001,00001000,10011010,01111011
1,10000010,01101101,01011111,10010011,01000101,10001111,11111001,10110010
1,10001111,01101111,11110111,01101000,11100001,01111101,00000100,10011010
1,00110101,11111001,10000110,11111101,00110100,00000011,00000000,00001000
1,11111110,01101000,10100110,01101100,01010010,10011010,00011010,01100100
0,00000100,10001000,11111110,01101111,01000010,01101010,01111111,11110111
0,01110100,00000001,01110101,11111101,01110100,01001110,11111001,11101011
0,01101010,10110011,10101011,01110001,10010111,10001000,01101110,01000011
1,01010101,11010101,00111001,01111111,10000010,10111011,10110011,10000001
1,11111100,01111011,00111100,11111101,10101111,10000011,10010111,11110001
1,11100001,01110000,11110011,00110101,11111111,01100110,00111101,10101100
1,00110010,01111100,01011100,01101001,11111100,10000010,11001111,11111011
0,01010010,10001101,01111101,00001100,00000100,01100111,10001000,00111000
1,10111101,01100110,01010011,10011000,11110001,01010111,10000001,00000101
0,00000110,10110100,00101011,00001111,11111010,01100101,01110100,01100110
1,01101110,11111110,11111010,10010111,10001010,00111000,01111110,11111011
0,00000011,01011011,11111110,10101111,01110100,00001001,01100111,01100000
0,01110011,10000011,00000101,01111011,10010100,00000111,00001100,10001100
